,Int,IntYds,IntAvg,IntLong,IntTd,Solo,Ast,Tot,Sack,SackYds,SId,TId,PId,Player
0,0,0,0.00,0,0,0,0,0.0,0.0,--,S5,T10,P47,/players/justin-murray-murraju01
1,0,0,0.00,0,0,0,0,0.0,0.0,--,S4,T10,P47,/players/justin-murray-murraju01
2,0,0,0.00,0,0,0,0,0.0,0.0,--,S3,T7,P47,/players/justin-murray-murraju01
3,0,0,0.00,0,0,0,0,0.0,0.0,0,S2,T1,P47,/players/justin-murray-murraju01
4,0,0,0.00,0,0,0,0,0.0,0.0,0,S1,T1,P47,/players/justin-murray-murraju01
0,0,0,0.00,0,0,2,2,0.0,0.0,0,S2,T1,P48,/players/kyler-murray-murraky01
1,0,0,0.00,0,0,0,0,0.0,0.0,0,S1,T1,P48,/players/kyler-murray-murraky01
0,0,0,0.00,0,0,1,2,0.0,0.0,--,S5,T7,P49,/players/mike-nugent-nugenmi01
1,0,0,0.00,0,0,0,0,0.0,0.0,--,S4,T21,P49,/players/mike-nugent-nugenmi01
2,0,0,0.00,0,0,0,0,0.0,0.0,--,S3,T23,P49,/players/mike-nugent-nugenmi01
3,0,0,0.00,0,0,0,0,0.0,0.0,0,S2,T19,P49,/players/mike-nugent-nugenmi01
4,0,0,0.00,0,0,0,0,0.0,0.0,0,S1,T1,P49,/players/mike-nugent-nugenmi01
0,0,0,0.00,0,0,17,37,0.0,0.0,--,S5,T7,P50,/players/domata-peko-pekodo01
1,0,0,0.00,0,0,24,38,1.0,5.0,--,S4,T10,P50,/players/domata-peko-pekodo01
2,0,0,0.00,0,0,20,31,0.5,4.5,--,S3,T10,P50,/players/domata-peko-pekodo01
3,0,0,0.00,0,0,7,14,0.0,0.0,0,S2,T3,P50,/players/domata-peko-pekodo01
4,0,0,0.00,0,0,6,16,0.0,0.0,0,S1,T1,P50,/players/domata-peko-pekodo01
0,0,0,0.00,0,0,12,21,0.0,0.0,--,S5,T1,P51,/players/corey-peters-peterco01
1,0,0,0.00,0,0,18,22,1.0,6.0,--,S4,T1,P51,/players/corey-peters-peterco01
2,0,0,0.00,0,0,33,50,2.5,11.0,--,S3,T1,P51,/players/corey-peters-peterco01
3,0,0,0.00,0,0,19,38,2.5,17.5,0,S2,T1,P51,/players/corey-peters-peterco01
4,0,0,0.00,0,0,10,15,2.0,19.0,1,S1,T1,P51,/players/corey-peters-peterco01
0,0,0,0.00,0,0,0,0,0.0,0.0,--,S5,T6,P52,/players/kevin-peterson-peterke05
1,2,42,21.00,38,0,7,11,0.0,0.0,--,S4,T29,P52,/players/kevin-peterson-peterke05
2,0,0,0.00,0,0,0,0,0.0,0.0,--,S3,T29,P52,/players/kevin-peterson-peterke05
3,0,0,0.00,0,0,15,22,0.0,0.0,2,S2,T1,P52,/players/kevin-peterson-peterke05
4,0,0,0.00,0,0,3,6,0.0,0.0,1,S1,T1,P52,/players/kevin-peterson-peterke05
0,3,27,9.00,25,0,45,51,0.0,0.0,--,S5,T1,P53,/players/patrick-peterson-peterpa02
1,1,22,22.00,22,0,30,34,0.0,0.0,--,S4,T1,P53,/players/patrick-peterson-peterpa02
2,2,0,0.00,0,0,45,54,1.0,0.0,--,S3,T1,P53,/players/patrick-peterson-peterpa02
3,2,0,0.00,0,0,46,53,1.0,13.0,7,S2,T1,P53,/players/patrick-peterson-peterpa02
4,3,7,2.33,7,0,52,61,0.0,0.0,8,S1,T1,P53,/players/patrick-peterson-peterpa02
0,1,17,17.00,17,0,13,23,0.5,0.0,--,S5,T17,P54,/players/jordan-phillips-philljo07
1,0,0,0.00,0,0,10,16,2.0,22.0,--,S4,T17,P54,/players/jordan-phillips-philljo07
2,0,0,0.00,0,0,3,5,1.0,5.0,--,S3,T17,P54,/players/jordan-phillips-philljo07
3,0,0,0.00,0,0,25,31,9.5,71.5,0,S2,T4,P54,/players/jordan-phillips-philljo07
4,0,0,0.00,0,0,10,11,2.0,13.0,1,S1,T1,P54,/players/jordan-phillips-philljo07
0,0,0,0.00,0,0,4,4,0.0,0.0,--,S5,T21,P55,/players/justin-pugh-pughju01
1,0,0,0.00,0,0,1,1,0.0,0.0,--,S4,T21,P55,/players/justin-pugh-pughju01
2,0,0,0.00,0,0,1,1,0.0,0.0,--,S3,T1,P55,/players/justin-pugh-pughju01
3,0,0,0.00,0,0,1,1,0.0,0.0,0,S2,T1,P55,/players/justin-pugh-pughju01
4,0,0,0.00,0,0,1,1,0.0,0.0,0,S1,T1,P55,/players/justin-pugh-pughju01
0,0,0,0.00,0,0,23,36,2.5,14.0,--,S4,T1,P56,/players/haason-reddick-reddiha01
1,0,0,0.00,0,0,53,80,4.0,39.0,--,S3,T1,P56,/players/haason-reddick-reddiha01
2,0,0,0.00,0,0,43,76,1.0,0.0,6,S2,T1,P56,/players/haason-reddick-reddiha01
3,0,0,0.00,0,0,43,63,12.5,83.5,4,S1,T1,P56,/players/haason-reddick-reddiha01
0,0,0,0.00,0,0,0,0,0.0,0.0,--,S5,T31,P57,/players/curtis-riley-rileycu01
1,1,2,2.00,2,0,8,12,0.0,0.0,--,S4,T31,P57,/players/curtis-riley-rileycu01
2,4,67,16.75,46,1,63,75,0.0,0.0,--,S3,T21,P57,/players/curtis-riley-rileycu01
3,0,0,0.00,0,0,27,34,0.0,0.0,1,S2,T23,P57,/players/curtis-riley-rileycu01
4,0,0,0.00,0,0,7,9,0.0,0.0,0,S1,T1,P57,/players/curtis-riley-rileycu01
0,0,0,0.00,0,0,1,1,0.0,0.0,--,S3,T1,P58,/players/trent-sherfield-sherftr01
1,0,0,0.00,0,0,6,8,0.0,0.0,0,S2,T1,P58,/players/trent-sherfield-sherftr01
2,0,0,0.00,0,0,6,9,0.0,0.0,0,S1,T1,P58,/players/trent-sherfield-sherftr01
0,1,12,12.00,12,0,43,54,2.0,15.0,2,S1,T1,P59,/players/isaiah-simmons-simmois01
0,0,0,0.00,0,0,2,3,0.0,0.0,--,S5,T16,P60,/players/terrance-smith-smithte05
1,1,7,7.00,7,0,10,11,0.0,0.0,--,S4,T16,P60,/players/terrance-smith-smithte05
2,0,0,0.00,0,0,13,22,1.0,5.0,--,S3,T16,P60,/players/terrance-smith-smithte05
3,0,0,0.00,0,0,0,0,0.0,0.0,0,S2,T17,P60,/players/terrance-smith-smithte05
4,0,0,0.00,0,0,0,2,0.0,0.0,0,S1,T1,P60,/players/terrance-smith-smithte05
0,0,0,0.00,0,0,0,0,0.0,0.0,0,S1,T1,P61,/players/chris-streveler-strevch01
0,0,0,0.00,0,0,0,0,0.0,0.0,--,S4,T30,P62,/players/jr-sweezy-sweezjr01
1,0,0,0.00,0,0,1,1,0.0,0.0,--,S3,T28,P62,/players/jr-sweezy-sweezjr01
2,0,0,0.00,0,0,1,1,0.0,0.0,0,S2,T1,P62,/players/jr-sweezy-sweezjr01
3,0,0,0.00,0,0,1,1,0.0,0.0,0,S1,T1,P62,/players/jr-sweezy-sweezjr01
0,0,0,0.00,0,0,14,18,0.0,0.0,0,S2,T1,P64,/players/deionte-thompson-thompde04
1,0,0,0.00,0,0,18,27,0.0,0.0,3,S1,T1,P64,/players/deionte-thompson-thompde04
0,1,18,18.00,18,0,45,57,0.0,0.0,3,S2,T1,P65,/players/jalen-thompson-thompja06
1,0,0,0.00,0,0,16,19,0.0,0.0,1,S1,T1,P65,/players/jalen-thompson-thompja06
0,0,0,0.00,0,0,13,16,0.0,0.0,--,S3,T1,P66,/players/ezekiel-turner-turneez01
1,0,0,0.00,0,0,5,7,0.0,0.0,0,S2,T1,P66,/players/ezekiel-turner-turneez01
2,0,0,0.00,0,0,4,14,0.0,0.0,0,S1,T1,P66,/players/ezekiel-turner-turneez01
0,0,0,0.00,0,0,3,5,0.0,0.0,--,S4,T4,P67,/players/tanner-vallejo-valleta01
1,0,0,0.00,0,0,0,0,0.0,0.0,--,S3,T4,P67,/players/tanner-vallejo-valleta01
2,0,0,0.00,0,0,1,1,0.0,0.0,0,S2,T32,P67,/players/tanner-vallejo-valleta01
3,0,0,0.00,0,0,18,26,1.0,0.0,0,S1,T1,P67,/players/tanner-vallejo-valleta01
0,0,0,0.00,0,0,1,1,0.0,0.0,0,S1,T1,P68,/players/reggie-walker-walkere02
0,0,0,0.00,0,0,3,7,0.0,0.0,0,S1,T1,P69,/players/jonathan-ward-wardjo03
0,0,0,0.00,0,0,0,0,0.0,0.0,--,S5,T11,P70,/players/charles-washington-washich06
1,0,0,0.00,0,0,11,14,0.0,0.0,--,S4,T11,P70,/players/charles-washington-washich06
2,0,0,0.00,0,0,5,6,0.0,0.0,--,S3,T11,P70,/players/charles-washington-washich06
3,0,0,0.00,0,0,6,7,0.0,0.0,0,S2,T1,P70,/players/charles-washington-washich06
4,0,0,0.00,0,0,7,12,0.0,0.0,1,S1,T1,P70,/players/charles-washington-washich06
0,0,0,0.00,0,0,4,4,0.0,0.0,0,S1,T1,P71,/players/jace-whittaker-whittja03
0,0,0,0.00,0,0,1,1,0.0,0.0,--,S5,T3,P72,/players/maxx-williams-willima22
1,0,0,0.00,0,0,0,0,0.0,0.0,--,S4,T3,P72,/players/maxx-williams-willima22
2,0,0,0.00,0,0,4,4,0.0,0.0,--,S3,T3,P72,/players/maxx-williams-willima22
3,0,0,0.00,0,0,3,5,0.0,0.0,0,S2,T1,P72,/players/maxx-williams-willima22
4,0,0,0.00,0,0,0,0,0.0,0.0,0,S1,T1,P72,/players/maxx-williams-willima22
