,Rec,Yds,Avg,YPG,Long,TD,20+,Tar,YAC,SId,TId,PId,Player
0,0,0,0.00,0.0,0,0,--,0,0,S4,T1,P2338,/players/krishawn-hogan-hogankr01
1,0,0,0.00,0.0,0,0,--,0,0,S3,T14,P2338,/players/krishawn-hogan-hogankr01
2,1,4,4.00,0.5,4,0,0,1,2,S2,T20,P2338,/players/krishawn-hogan-hogankr01
0,0,0,0.00,0.0,0,0,--,3,0,S5,T18,P2339,/players/zach-line-lineza01
1,2,8,4.00,0.7,5,1,--,5,2,S4,T20,P2339,/players/zach-line-lineza01
2,5,14,2.80,0.9,5,2,--,10,7,S3,T20,P2339,/players/zach-line-lineza01
3,6,36,6.00,3.0,12,0,0,10,45,S2,T20,P2339,/players/zach-line-lineza01
0,0,0,0.00,0.0,0,0,--,0,0,S4,T20,P2340,/players/mitchell-loewen-loewemi01
1,0,0,0.00,0.0,0,0,--,0,0,S3,T11,P2340,/players/mitchell-loewen-loewemi01
2,0,0,0.00,0.0,0,0,0,0,0,S2,T11,P2340,/players/mitchell-loewen-loewemi01
0,0,0,0.00,0.0,0,0,--,0,0,S4,T3,P2342,/players/ricky-ortiz-ortizri01
1,3,11,3.67,0.9,7,0,--,4,13,S3,T2,P2342,/players/ricky-ortiz-ortizri01
2,0,0,0.00,0.0,0,0,0,0,0,S2,T2,P2342,/players/ricky-ortiz-ortizri01
0,0,0,0.00,0.0,0,0,--,0,0,S5,T22,P2345,/players/jason-vander-laan-vandeja03
1,0,0,0.00,0.0,0,0,--,0,0,S4,T14,P2345,/players/jason-vander-laan-vandeja03
2,0,0,0.00,0.0,0,0,--,0,0,S3,T5,P2345,/players/jason-vander-laan-vandeja03
3,0,0,0.00,0.0,0,0,0,0,0,S2,T5,P2345,/players/jason-vander-laan-vandeja03
0,3,15,5.00,1.9,8,0,--,4,22,S5,T3,P2347,/players/javorius-allen-allenja08
1,46,250,5.43,15.6,20,2,--,60,218,S4,T3,P2347,/players/javorius-allen-allenja08
2,35,196,5.60,14.0,17,2,--,43,177,S3,T3,P2347,/players/javorius-allen-allenja08
3,1,9,9.00,0.9,9,0,0,2,4,S2,T21,P2347,/players/javorius-allen-allenja08
0,0,0,0.00,0.0,0,0,0,0,0,S2,T21,P2348,/players/sam-beal-bealsa01
0,17,200,11.76,25.0,50,0,--,27,118,S5,T7,P2350,/players/cody-core-coreco01
1,0,0,0.00,0.0,0,0,--,4,0,S4,T7,P2350,/players/cody-core-coreco01
2,13,160,12.31,11.4,30t,1,--,28,36,S3,T7,P2350,/players/cody-core-coreco01
3,0,0,0.00,0.0,0,0,0,0,0,S2,T7,P2350,/players/cody-core-coreco01
0,0,0,0.00,0.0,0,0,--,0,0,S3,T21,P2352,/players/garrett-dickerson-dickega01
1,0,0,0.00,0.0,0,0,0,0,0,S2,T21,P2352,/players/garrett-dickerson-dickega01
0,9,57,6.33,3.8,21,0,--,14,34,S5,T18,P2353,/players/rhett-ellison-ellisrh01
1,24,235,9.79,14.7,27,2,--,32,131,S4,T21,P2353,/players/rhett-ellison-ellisrh01
2,25,272,10.88,19.4,29,1,--,34,130,S3,T21,P2353,/players/rhett-ellison-ellisrh01
3,18,167,9.28,16.7,31,1,3,28,83,S2,T21,P2353,/players/rhett-ellison-ellisrh01
0,3,1,0.33,0.3,5,0,0,4,10,S2,T21,P2355,/players/jon-hilliman-hillijo02
0,5,93,18.60,31.0,36,0,--,14,30,S5,T11,P2356,/players/tj-jones-jonestj01
1,30,399,13.30,28.5,34,1,--,49,77,S4,T11,P2356,/players/tj-jones-jonestj01
2,19,190,10.00,12.7,26,2,--,27,36,S3,T11,P2356,/players/tj-jones-jonestj01
3,3,38,12.67,12.7,28,1,1,4,23,S2,T21,P2356,/players/tj-jones-jonestj01
0,8,76,9.50,6.3,16,0,--,15,24,S5,T10,P2357,/players/cody-latimer-latimco01
1,19,287,15.11,26.1,32,2,--,31,64,S4,T10,P2357,/players/cody-latimer-latimco01
2,11,190,17.27,31.7,39,1,--,16,23,S3,T21,P2357,/players/cody-latimer-latimco01
3,24,300,12.50,20.0,43,2,4,42,69,S2,T21,P2357,/players/cody-latimer-latimco01
0,0,0,0.00,0.0,0,0,--,0,0,S5,T21,P2358,/players/eli-manning-manniel01
1,0,0,0.00,0.0,0,0,--,0,0,S4,T21,P2358,/players/eli-manning-manniel01
2,0,0,0.00,0.0,0,0,--,0,0,S3,T21,P2358,/players/eli-manning-manniel01
3,0,0,0.00,0.0,0,0,0,0,0,S2,T21,P2358,/players/eli-manning-manniel01
0,0,0,0.00,0.0,0,0,0,0,0,S2,T26,P2359,/players/chris-peace-peacech01
0,0,0,0.00,0.0,0,0,--,0,0,S5,T1,P2360,/players/olsen-pierre-pierrol01
1,0,0,0.00,0.0,0,0,--,0,0,S4,T1,P2360,/players/olsen-pierre-pierrol01
2,0,0,0.00,0.0,0,0,--,0,0,S3,T1,P2360,/players/olsen-pierre-pierrol01
3,0,0,0.00,0.0,0,0,0,0,0,S2,T21,P2360,/players/olsen-pierre-pierrol01
0,0,0,0.00,0.0,0,0,--,0,0,S3,T4,P2361,/players/damari-scott-scottda08
1,2,22,11.00,4.4,11,0,0,3,14,S2,T21,P2361,/players/damari-scott-scottda08
0,23,341,14.83,24.4,24,2,--,40,76,S5,T30,P2362,/players/russell-shepard-sheparu01
1,17,202,11.88,13.5,40t,1,--,32,106,S4,T5,P2362,/players/russell-shepard-sheparu01
2,10,188,18.80,15.7,49t,2,--,19,16,S3,T21,P2362,/players/russell-shepard-sheparu01
3,3,25,8.33,8.3,12,0,0,8,13,S2,T21,P2362,/players/russell-shepard-sheparu01
0,0,0,0.00,0.0,0,0,0,0,0,S2,T4,P2363,/players/david-sills-sillsda01
0,0,0,0.00,0.0,0,0,--,0,0,S5,T5,P2364,/players/scott-simonson-simonsc01
1,0,0,0.00,0.0,0,0,--,0,0,S4,T5,P2364,/players/scott-simonson-simonsc01
2,9,86,9.56,5.4,24,1,--,14,31,S3,T21,P2364,/players/scott-simonson-simonsc01
3,2,11,5.50,2.2,10,0,0,2,3,S2,T21,P2364,/players/scott-simonson-simonsc01
0,0,0,0.00,0.0,0,0,0,0,0,S2,T21,P2365,/players/chris-slayton-slaytch01
