,FGM,FGA,FPct,0-19,20-29,30-39,40-49,50+,Long,XPM,XPA,XPct,Pts,SId,TId,PId,Player
2,36,39,92.3,1-1,8-8,7-7,12-14,8-9,56,36,36,100.0,144,S1,T17,P1948,/players/jason-sanders-sandeja03
0,27,31,87.1,0-0,12-13,10-11,3-3,2-4,51,24,26,92.3,105,S5,T22,P1981,/players/nick-folk-folkni01
1,6,11,54.5,0-0,2-2,1-2,2-5,1-2,50,7,9,77.8,25,S4,T30,P1981,/players/nick-folk-folkni01
2,26,28,92.9,0-0,6-6,7-7,11-12,2-3,51,30,33,90.9,108,S1,T19,P1981,/players/nick-folk-folkni01
0,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S2,T19,P2018,/players/joejuan-williams-willijo31
1,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S1,T19,P2018,/players/joejuan-williams-willijo31
0,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S5,T15,P2045,/players/sam-ficken-fickesa01
1,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S4,T16,P2045,/players/sam-ficken-fickesa01
2,1,3,33.3,0-0,0-1,1-1,0-1,0-0,34,10,10,100.0,13,S3,T29,P2045,/players/sam-ficken-fickesa01
3,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S2,T12,P2045,/players/sam-ficken-fickesa01
4,13,15,86.7,0-0,5-5,6-6,1-1,1-3,54,12,15,80.0,51,S1,T22,P2045,/players/sam-ficken-fickesa01
0,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S1,T22,P2068,/players/braden-mann-mannbr01
0,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S2,T22,P2091,/players/trevon-wesco-wescotr01
1,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S1,T22,P2091,/players/trevon-wesco-wescotr01
0,21,25,84.0,0-0,2-2,8-9,11-12,0-2,49,36,36,100.0,99,S5,T25,P2101,/players/chris-boswell-boswech01
1,35,38,92.1,0-0,10-10,12-14,9-10,4-4,53,37,39,94.9,142,S4,T25,P2101,/players/chris-boswell-boswech01
2,13,20,65.0,0-0,3-3,4-6,5-10,1-1,50,43,48,89.6,82,S3,T25,P2101,/players/chris-boswell-boswech01
3,29,31,93.5,1-1,11-11,7-7,9-10,1-2,51,28,28,100.0,115,S2,T25,P2101,/players/chris-boswell-boswech01
4,19,20,95.0,0-0,5-5,6-6,7-8,1-1,59,34,38,89.5,91,S1,T25,P2101,/players/chris-boswell-boswech01
0,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S2,T25,P2157,/players/matthew-wright-wrighma04
1,4,4,100.0,0-0,1-1,1-1,2-2,0-0,46,7,7,100.0,19,S1,T25,P2157,/players/matthew-wright-wrighma04
0,27,32,84.4,0-0,9-9,7-9,9-10,2-4,53,46,49,93.9,127,S5,T19,P2183,/players/stephen-gostkowski-gostkst01
1,37,40,92.5,0-0,16-16,9-9,8-11,4-4,62,45,47,95.7,156,S4,T19,P2183,/players/stephen-gostkowski-gostkst01
2,27,32,84.4,0-0,11-11,10-10,4-6,2-5,52,49,50,98.0,130,S3,T19,P2183,/players/stephen-gostkowski-gostkst01
3,7,8,87.5,0-0,3-3,3-3,1-2,0-0,41,11,15,73.3,32,S2,T19,P2183,/players/stephen-gostkowski-gostkst01
4,18,26,69.2,0-0,2-3,4-5,5-10,7-8,55,46,48,95.8,100,S1,T31,P2183,/players/stephen-gostkowski-gostkst01
0,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S2,T21,P2215,/players/tuzar-skipper-skipptu01
1,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S1,T31,P2215,/players/tuzar-skipper-skipptu01
0,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S5,T2,P2240,/players/matt-bosher-boshema01
1,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S4,T2,P2240,/players/matt-bosher-boshema01
2,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S3,T2,P2240,/players/matt-bosher-boshema01
3,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S2,T2,P2240,/players/matt-bosher-boshema01
0,34,37,91.9,0-0,12-12,7-8,9-9,6-8,59,56,57,98.2,158,S5,T2,P2241,/players/matt-bryant-bryanma01
1,34,39,87.2,1-1,6-6,10-13,9-10,8-9,57,35,35,100.0,137,S4,T2,P2241,/players/matt-bryant-bryanma01
2,20,21,95.2,0-0,4-4,5-5,7-7,4-5,57,33,35,94.3,93,S3,T2,P2241,/players/matt-bryant-bryanma01
3,9,14,64.3,0-0,1-1,3-4,3-3,2-6,52,14,15,93.3,41,S2,T2,P2241,/players/matt-bryant-bryanma01
